Model,Paliwo,Typ nadwozia,Przebieg,Kolor,Poj. silnika,Skrzynia biegów,Kraj pochodzenia,Moc silnika,Napęd,Kierownica,Cena,Województwo,Rodzaj ogłoszenia,Producent,Czy cena do negocjacji,Roczny przebieg,Wiek
RAV-4,Benzyna,Kombi,118000,Czarny,1987.0,Automatyczna,Polska,111.0,4x4 (dołączany automatycznie),po lewej,80000.0,Pomorskie,Prywatne,Toyota,False,11400.96618357498,10
147,Diesel,Hatchback,245000,Niebieski,1598.0,Manualna,Belgia,120.0,Na przednie koła,Brak danych,19900.0,Łódzkie,Firmowe,Alfa Romeo,False,15960.912052117359,15
X5,Diesel,SUV,199000,Inny kolor,2000.0,Automatyczna,Polska,231.0,4x4 (dołączany automatycznie),po lewej,105000.0,Dolnośląskie,Prywatne,BMW,False,21283.422459893256,9
Vivaro,Diesel,Minivan,264100,Brązowy – Beżowy,1598.0,Manualna,Polska,125.0,Na przednie koła,po lewej,42000.0,Zachodniopomorskie,Prywatne,Opel,False,31628.742514970403,8
Seria 1,Diesel,Hatchback,273855,Srebrny,1995.0,Manualna,Niemcy,122.0,Na tylne koła,po lewej,10800.0,Zachodniopomorskie,Prywatne,BMW,True,13457.248157248217,20
X5,Diesel,SUV,368000,Niebieski,2993.0,Automatyczna,Francja,218.0,4x4 (dołączany automatycznie),po lewej,32500.0,Śląskie,Prywatne,BMW,True,19018.087855297246,19
A4,Diesel,Kombi,221000,Srebrny,1998.0,Automatyczna,Polska,136.0,Na przednie koła,po lewej,96900.0,Łódzkie,Prywatne,Audi,True,34803.14960629971,6
S Klasa,Benzyna,Sedan,234428,Inny kolor,4663.0,Automatyczna,Brak danych,455.0,4x4 (stały),po lewej,135000.0,Śląskie,Prywatne,Mercedes-Benz,False,18982.024291498117,12
C-MAX,Benzyna,Hatchback,208000,Czarny,1998.0,Manualna,Niemcy,145.0,Na przednie koła,po lewej,15500.0,Lubelskie,Prywatne,Ford,False,11988.472622478448,17
T-Roc,Benzyna,SUV,99000,Szary,1499.0,Automatyczna,Polska,150.0,Na przednie koła,Brak danych,89500.0,Pomorskie,Prywatne,Volkswagen,True,22758.620689655647,4
S4,Benzyna,Kombi,264000,Niebieski,2995.0,Automatyczna,Włochy,333.0,4x4 (dołączany automatycznie),po lewej,59000.0,Małopolskie,Prywatne,Audi,True,18397.212543554124,14
Z3,Benzyna,Kabriolet,234500,Czarny,1800.0,Manualna,Niemcy,116.0,Na tylne koła,po lewej,24900.0,Mazowieckie,Prywatne,BMW,True,8574.040219378456,27
Seria 5,Diesel,Sedan,248300,Inny kolor,1995.0,Manualna,Niemcy,184.0,Na tylne koła,po lewej,48900.0,Śląskie,Prywatne,BMW,True,18599.250936329714,13
Jumpy Combi,Diesel,Minibus,261000,Inny kolor,1997.0,Manualna,Francja,120.0,Na przednie koła,po lewej,22500.0,Dolnośląskie,Prywatne,Citroen,True,15043.22766570613,17
Mondeo,Diesel,Kombi,278000,Czarny,2000.0,Manualna,Niemcy,130.0,Na przednie koła,po lewej,5900.0,Śląskie,Prywatne,Ford,True,13660.933660933722,20
GLK Klasa,Diesel,SUV,256000,Szary,2987.0,Automatyczna,Polska,224.0,4x4 (stały),po lewej,48000.0,Świętokrzyskie,Prywatne,Mercedes-Benz,False,16677.524429967525,15
Seria 3,Diesel,Kombi,216000,Czarny,1999.0,Manualna,Niemcy,163.0,Na tylne koła,po lewej,36000.0,Wielkopolskie,Prywatne,BMW,True,17489.87854251025,12
Seria 3,Diesel,Kombi,341000,Szary,1998.0,Manualna,Niemcy,163.0,Na tylne koła,po lewej,16500.0,Świętokrzyskie,Firmowe,BMW,True,18583.106267030063,18
